date,btc-price
2024-01-21,41545.79
2024-01-22,39507.37
2024-01-23,39845.55
2024-01-24,40077.07
2024-01-25,39933.81
2024-01-26,41816.87
2024-01-27,42120.05
2024-01-28,42035.59
2024-01-29,43288.25
2024-01-30,42952.61
2024-01-31,42582.61
2024-02-01,43075.77
2024-02-02,43185.86
2024-02-03,42992.25
2024-02-04,42583.58
2024-02-05,42658.67
2024-02-06,43084.67
2024-02-07,44318.22
2024-02-08,45301.57
2024-02-09,47147.2
2024-02-10,47771.28
2024-02-11,48293.92
2024-02-12,49958.22
2024-02-13,49742.44
2024-02-14,51826.7
2024-02-15,51938.55
2024-02-16,52160.2
2024-02-17,51663.0
2024-02-18,52122.55
2024-02-19,51779.14
2024-02-20,52284.88
2024-02-21,51839.18
2024-02-22,51304.97
2024-02-23,50731.95
2024-02-24,51571.1
2024-02-25,51733.24
2024-02-26,54522.4
2024-02-27,57085.37
2024-02-28,62504.79
2024-02-29,61198.38
2024-03-01,62440.63
2024-03-02,62029.85
2024-03-03,63167.37
2024-03-04,68330.41
2024-03-05,63801.2
2024-03-06,66106.8
2024-03-07,66925.48
2024-03-08,68300.09
2024-03-09,68498.88
2024-03-10,69019.79
2024-03-11,72123.91
2024-03-12,71481.29
2024-03-13,73083.5
2024-03-14,71396.59
2024-03-15,69403.77
2024-03-16,65315.12
2024-03-17,68390.63
2024-03-18,67548.59
2024-03-19,61912.77
2024-03-20,67913.67
2024-03-21,65491.39
2024-03-22,63778.76
2024-03-23,64062.2
2024-03-24,67234.17
2024-03-25,69958.81
2024-03-26,69987.84
2024-03-27,69455.34
2024-03-28,70744.95
2024-03-29,69892.83
2024-03-30,69645.3
2024-03-31,71333.65
2024-04-01,69702.15
2024-04-02,65446.97
2024-04-03,65980.81
2024-04-04,68508.84
2024-04-05,67837.64
2024-04-06,68896.11
2024-04-07,69362.55
2024-04-08,71631.36
2024-04-09,69139.02
2024-04-10,70587.88
2024-04-11,70060.61
2024-04-12,67195.87
2024-04-13,63821.47
2024-04-14,65738.73
2024-04-15,63426.21
2024-04-16,63811.86
2024-04-17,61276.69
2024-04-18,63512.75
2024-04-19,63843.57
2024-04-20,64994.44
2024-04-21,64926.64
2024-04-22,66837.68
2024-04-23,66407.27
2024-04-24,64276.9
2024-04-25,64481.71
2024-04-26,63755.32
2024-04-27,63419.14
2024-04-28,63113.23
2024-04-29,63841.12
2024-04-30,60636.86
2024-05-01,58254.01
2024-05-02,59123.43
2024-05-03,62889.84
2024-05-04,63891.47
2024-05-05,64031.13
2024-05-06,63161.95
2024-05-07,62334.82
2024-05-08,61187.94
2024-05-09,63049.96
2024-05-10,60792.78
2024-05-11,60793.71
2024-05-12,61448.39
2024-05-13,62901.45
2024-05-14,61552.79
2024-05-15,66267.49
2024-05-16,65231.58
2024-05-17,67051.88
2024-05-18,66940.8
2024-05-19,66278.37
2024-05-20,71448.2
2024-05-21,70136.53
2024-05-22,69122.34
2024-05-23,67929.56
2024-05-24,68526.1
2024-05-25,69265.95
2024-05-26,68518.09
2024-05-27,69394.55
2024-05-28,68296.22
2024-05-29,67578.09
2024-05-30,68364.99
2024-05-31,67491.41
2024-06-01,67706.94
2024-06-02,67751.6
2024-06-03,68804.78
2024-06-04,70567.77
2024-06-05,71082.82
2024-06-06,70757.16
2024-06-07,69342.59
2024-06-08,69305.77
2024-06-09,69647.99
2024-06-10,69512.28
2024-06-11,67332.03
2024-06-12,68241.19
2024-06-13,66756.4
2024-06-14,66011.09
2024-06-15,66191.0
2024-06-16,66639.05
2024-06-17,66490.3
2024-06-18,65140.75
2024-06-19,64960.3
2024-06-20,64828.66
2024-06-21,64096.2
2024-06-22,64252.58
2024-06-23,63180.8
2024-06-24,60277.41
2024-06-25,61804.64
2024-06-26,60811.28
2024-06-27,61604.8
2024-06-28,60320.14
2024-06-29,60887.38
2024-06-30,62678.29
2024-07-01,62851.98
2024-07-02,62029.02
2024-07-03,60173.92
2024-07-04,56977.7
2024-07-05,56662.38
2024-07-06,58303.54
2024-07-07,55849.11
2024-07-08,56705.1
2024-07-09,58009.23
2024-07-10,57742.5
2024-07-11,57344.91
2024-07-12,57899.46
2024-07-13,59231.95
2024-07-14,60787.79
2024-07-15,64870.15
2024-07-16,65097.15
2024-07-17,64118.79
2024-07-18,63974.07
2024-07-19,66710.16
2024-07-20,67163.65
2024-07-21,68154.52
2024-07-22,67585.25
2024-07-23,65927.67
2024-07-24,65372.13
2024-07-25,65777.23
2024-07-26,67912.06
2024-07-27,67813.34
2024-07-28,68255.87
2024-07-29,66819.91
2024-07-30,66201.02
2024-07-31,64619.25
2024-08-01,65357.5
2024-08-02,61415.07
2024-08-03,60680.09
2024-08-04,58116.98
2024-08-05,53991.46
2024-08-06,56034.32
2024-08-07,55027.46
2024-08-08,61710.14
2024-08-09,60880.11
2024-08-10,60945.81
2024-08-11,58719.48
2024-08-12,59354.52
2024-08-13,60609.57
2024-08-14,58737.27
2024-08-15,57560.1
2024-08-16,58894.11
2024-08-17,59478.97
2024-08-18,58483.96
2024-08-19,59493.45
2024-08-20,59012.79
2024-08-21,61175.19
2024-08-22,60381.91
2024-08-23,64094.36
2024-08-24,64178.99
2024-08-25,64333.54
2024-08-26,62880.66
2024-08-27,59504.13
2024-08-28,59027.63
2024-08-29,59388.18
2024-08-30,59119.48
2024-08-31,58969.9
2024-09-01,57325.49
2024-09-02,59112.48
2024-09-03,57431.02
2024-09-04,57971.54
2024-09-05,56160.49
2024-09-06,53948.75
2024-09-07,54139.69
2024-09-08,54841.57
2024-09-09,57019.54
2024-09-10,57648.71
2024-09-11,57343.17
2024-09-12,58127.01
2024-09-13,60571.3
2024-09-14,60005.12
2024-09-15,59182.84
2024-09-16,58192.51
2024-09-17,60308.54
2024-09-18,61649.68
2024-09-19,62940.46
2024-09-20,63192.98
2024-09-21,63394.84
2024-09-22,63648.71
2024-09-23,63329.8
2024-09-24,64301.97
2024-09-25,63143.14
2024-09-26,65181.02
2024-09-27,65790.66
2024-09-28,65887.65
2024-09-29,65635.3
2024-09-30,63329.5
2024-10-01,60837.01
2024-10-02,60632.79
2024-10-03,60759.4
2024-10-04,62067.48
2024-10-05,62089.95
2024-10-06,62818.95
2024-10-07,62236.66
2024-10-08,62131.97
2024-10-09,60582.1
2024-10-10,60274.5
2024-10-11,62445.09
2024-10-12,63193.02
2024-10-13,62851.38
2024-10-14,66046.13
2024-10-15,67041.11
2024-10-16,67612.72
2024-10-17,67399.84
2024-10-18,68418.79
2024-10-19,68362.73
2024-10-20,69001.7
2024-10-21,67367.85
2024-10-22,67361.41
2024-10-23,66432.2
2024-10-24,68161.05
2024-10-25,66642.41
2024-10-26,67014.7
2024-10-27,67929.3
2024-10-28,69907.76
2024-10-29,72720.49
2024-10-30,72339.54
2024-10-31,70215.19
2024-11-01,69482.47
2024-11-02,69289.27
2024-11-03,68741.12
2024-11-04,67811.51
2024-11-05,69359.56
2024-11-06,75639.08
2024-11-07,75904.86
2024-11-08,76545.48
2024-11-09,76778.87
2024-11-10,80474.19
2024-11-11,88701.48
2024-11-12,87955.81
2024-11-13,90584.16
2024-11-14,87250.43
2024-11-15,91066.01
2024-11-16,90558.48
2024-11-17,89845.85
2024-11-18,90542.64
2024-11-19,92343.79
2024-11-20,94339.49
2024-11-21,98504.73
2024-11-22,98997.66
2024-11-23,97777.28
2024-11-24,98013.82
2024-11-25,93102.3
2024-11-26,91985.32
2024-11-27,95962.53
2024-11-28,95652.47
2024-11-29,97461.52
2024-11-30,96449.05
2024-12-01,97279.79
2024-12-02,95865.3
2024-12-03,96002.16
2024-12-04,98768.53
2024-12-05,96593.57
2024-12-06,99920.71
2024-12-07,99923.34
2024-12-08,101236.02
2024-12-09,97432.72
2024-12-10,96675.43
2024-12-11,101173.03
2024-12-12,100043.0
2024-12-13,101459.26
2024-12-14,101372.97
2024-12-15,104298.7
2024-12-16,106029.72
2024-12-17,106140.6
2024-12-18,100041.54
2024-12-19,97490.95
2024-12-20,97755.93
2024-12-21,97224.73
2024-12-22,95104.94
2024-12-23,94686.24
2024-12-24,98676.09
2024-12-25,99299.2
2024-12-26,95795.52
2024-12-27,94164.86
2024-12-28,95163.93
2024-12-29,93530.23
2024-12-30,92643.21
2024-12-31,93429.2
2025-01-01,94419.76
2025-01-02,96886.88
2025-01-03,98107.43
2025-01-04,98236.23
2025-01-05,98314.96
2025-01-06,102078.09
2025-01-07,96922.7
2025-01-08,95043.52
2025-01-09,92484.04
2025-01-10,94701.45
2025-01-11,94566.59
2025-01-12,94488.44
2025-01-13,94516.52
2025-01-14,96534.05
2025-01-15,100504.49
2025-01-16,99756.91
2025-01-17,104462.04
2025-01-18,104408.07
2025-01-19,101089.61
2025-01-20,102016.66
2025-01-21,105022.42
